ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
uniform40,0.1,zstd,r_PhI,50,0.20385050236602276,8.117638095341211e-06,0.06
uniform40,0.1,zstd,r_PhIIa,50,-0.9953120105979558,4.5793385571656003e-119,0.04
uniform40,0.1,zstd,r_PhIIb,50,-0.9943084469360228,2.3026641329124915e-118,0.06
uniform40,0.1,zstd,r_Rg,50,0.8324081466626678,1.9947612568428445e-77,0.04
uniform40,0.1,zstd,r_NND,50,0.7920531173532588,5.886271679684838e-76,0.04
uniform40,0.1,zstd,r_Var,50,0.6438922820396894,1.2236224541840283e-66,0.06
uniform400,0.001,bz2,r_PhI,50,0.13889770127881354,0.0006253851388957546,0.06
uniform400,0.001,bz2,r_PhIIa,50,-0.998855312662879,4.929101264397133e-169,0.06
uniform400,0.001,bz2,r_PhIIb,50,-0.9989393263844962,2.1734019773443714e-177,0.04
uniform400,0.001,bz2,r_Rg,50,0.9964774190738553,1.8349517447533914e-148,0.06
uniform400,0.001,bz2,r_NND,50,0.9799991073455473,1.8446259284170274e-123,0.08
uniform400,0.001,bz2,r_Var,50,0.988365762685268,6.727259869410614e-130,0.04
uniform400,0.001,gzip,r_PhI,50,0.16396706964023303,2.5433316789818494e-05,0.02
uniform400,0.001,gzip,r_PhIIa,50,-0.9995863753779153,7.104337105142767e-193,0.02
uniform400,0.001,gzip,r_PhIIb,50,-0.9996037244468079,8.992149047342825e-190,0.06
uniform400,0.001,gzip,r_Rg,50,0.9975109393003295,3.276888470994494e-157,0.04
uniform400,0.001,gzip,r_NND,50,0.9814684938858284,1.0499359984228774e-126,0.04
uniform400,0.001,gzip,r_Var,50,0.9896901575464984,9.452599888713926e-136,0.06
uniform400,0.001,lzma,r_PhI,50,0.4357237897343327,2.045538547961942e-14,0.04
uniform400,0.001,lzma,r_PhIIa,50,-0.998264757247097,1.52426781307948e-114,0.02
uniform400,0.001,lzma,r_PhIIb,50,-0.9985297273855906,8.214541717293172e-137,0.04
uniform400,0.001,lzma,r_Rg,50,0.9951691135794668,1.7095884721371338e-110,0.02
uniform400,0.001,lzma,r_NND,50,0.9775375973559025,2.130789162541167e-103,0.02
uniform400,0.001,lzma,r_Var,50,0.9863659627444851,2.8014892499982883e-106,0.04
uniform400,0.001,none,r_PhI,50,0.0,,0.0
uniform400,0.001,none,r_PhIIa,50,0.0,,0.0
uniform400,0.001,none,r_PhIIb,50,0.0,,0.0
uniform400,0.001,none,r_Rg,50,0.0,,0.0
uniform400,0.001,none,r_NND,50,0.0,,0.0
uniform400,0.001,none,r_Var,50,0.0,,0.0
uniform400,0.001,zstd,r_PhI,50,0.12752127095188903,0.032347160160036206,0.04
uniform400,0.001,zstd,r_PhIIa,50,-0.9995915336037097,2.495850764520125e-194,0.04
uniform400,0.001,zstd,r_PhIIb,50,-0.9995920407999159,3.537481033579267e-192,0.06
uniform400,0.001,zstd,r_Rg,50,0.996529372612207,1.1040652556580063e-154,0.02
uniform400,0.001,zstd,r_NND,50,0.9789268931509733,7.133235142690117e-127,0.02
uniform400,0.001,zstd,r_Var,50,0.9877500199932956,5.2230857848407946e-135,0.02
uniform400,0.01,bz2,r_PhI,50,0.13889770127881354,0.0006253851388957546,0.06
uniform400,0.01,bz2,r_PhIIa,50,-0.997896417433748,4.436790494124059e-153,0.04
uniform400,0.01,bz2,r_PhIIb,50,-0.997919181843273,1.3521670571276675e-155,0.04
uniform400,0.01,bz2,r_Rg,50,0.9963196521842971,2.5638812037283124e-147,0.02
uniform400,0.01,bz2,r_NND,50,0.9810886197725401,4.934436197852354e-124,0.02
uniform400,0.01,bz2,r_Var,50,0.9889934908227798,3.7491079136077485e-131,0.06
uniform400,0.01,gzip,r_PhI,50,0.16396706964023303,2.5433316789818494e-05,0.02
